Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Vegetation_Type,Soil_Type_Enc,Wilderness_Area_Enc,Vegetation_Type_Enc
3319,187,10,277,40,3471,221,247,159,1436,61.05,379.37,179.28,17.25,Type_1,15,1,0
3325,180,13,255,46,3834,224,248,153,1794,85.46,259.32,1148.17,19.24,Type_1,11,1,0
3198,18,8,789,82,1959,214,223,145,2389,86.94,238.0,365.15,23.72,Type_1,13,1,0
3298,176,19,342,59,4624,226,247,145,2590,80.65,349.6,1156.19,12.98,Type_1,12,1,0
3227,34,17,725,98,2190,215,201,117,2342,79.37,153.34,1012.51,10.71,Type_1,5,1,0
3240,267,9,309,46,3007,198,244,185,990,41.33,381.08,304.7,55.29,Type_1,13,1,0
3306,181,14,134,27,3588,224,248,154,1549,72.07,343.92,341.35,34.56,Type_1,15,1,0
3232,109,19,218,17,1543,249,214,85,2491,43.79,277.35,967.95,41.99,Type_1,2,0,0
3110,140,14,175,-3,1064,240,235,122,1930,30.05,400.21,458.52,64.67,Type_1,7,0,0
3273,35,12,700,123,2385,219,214,129,2304,58.55,408.5,973.01,37.2,Type_1,5,1,0
3183,357,16,882,166,1842,193,210,153,2335,72.96,443.94,104.93,33.65,Type_1,5,1,0
3066,271,10,180,26,765,195,243,188,1865,49.12,216.97,617.96,33.11,Type_1,5,2,0
3286,357,17,242,66,2873,192,208,152,2458,81.57,335.64,382.21,23.79,Type_1,5,1,0
3193,354,17,942,176,1844,189,207,155,2240,52.81,249.1,255.14,44.78,Type_1,5,1,0
3066,277,9,175,6,785,195,242,187,1860,82.28,405.0,224.98,40.55,Type_1,5,2,0
3297,221,9,153,18,3757,209,249,176,1718,50.5,162.56,860.06,50.95,Type_1,15,1,0
3268,176,12,323,38,4447,226,246,150,2418,71.02,301.21,942.4,42.03,Type_1,12,1,0
3265,193,14,108,7,4726,218,250,163,2831,31.18,167.9,259.23,56.32,Type_1,12,1,0
3082,106,6,60,2,892,231,232,135,1766,87.28,361.79,481.14,5.27,Type_1,7,0,0
3194,237,12,85,19,2156,199,250,187,459,84.56,163.48,408.31,12.87,Type_1,15,1,0
3257,170,13,216,25,4584,229,245,146,2560,51.61,400.46,634.64,57.84,Type_1,12,1,0
3273,179,13,108,12,3482,225,247,152,1442,46.8,298.35,670.81,41.57,Type_1,7,1,0
3247,186,11,95,8,4751,222,248,159,2732,36.36,188.39,974.34,41.61,Type_1,12,1,0
3244,171,12,170,12,4569,228,245,147,2550,78.26,413.67,278.4,34.35,Type_1,12,1,0
3231,71,15,0,0,1698,236,210,102,2708,51.8,435.12,494.21,63.08,Type_1,1,0,0
3166,174,20,192,0,2162,227,246,141,361,32.6,233.24,1052.53,33.99,Type_1,15,1,0
3246,33,12,60,8,1747,218,214,131,2766,61.0,168.54,448.09,36.9,Type_1,1,0,0
3235,63,17,30,4,1690,233,203,97,2706,74.16,394.49,134.06,10.97,Type_1,1,0,0
3202,91,12,0,0,1575,238,221,111,2586,63.41,253.22,560.32,52.68,Type_1,2,0,0
3196,108,12,0,0,1546,240,226,115,2556,85.74,424.09,1165.79,8.4,Type_1,2,0,0
3149,123,27,60,-3,1320,253,207,62,2317,52.68,196.32,973.09,5.56,Type_1,2,0,0
3155,164,14,255,-19,2201,232,243,139,331,57.82,167.08,127.49,56.69,Type_1,13,1,0
3277,357,19,1082,260,1956,186,202,151,2184,41.34,299.4,375.53,38.89,Type_1,5,1,0
2915,69,12,277,18,212,233,216,113,295,58.17,205.55,1023.54,50.13,Type_1,12,1,0
3242,164,11,120,2,3379,230,243,144,1347,53.73,411.79,292.69,18.74,Type_1,7,1,0
3260,290,6,108,17,4860,202,239,176,2860,34.7,226.51,258.36,16.76,Type_1,15,1,0
2981,36,4,497,88,192,220,230,147,573,76.47,276.55,445.65,20.77,Type_1,12,1,0
3128,159,15,162,30,2230,235,242,134,242,32.03,179.12,603.18,18.94,Type_1,13,1,0
3221,161,11,60,-12,3413,231,243,142,1392,32.01,359.23,650.72,5.71,Type_1,7,1,0
3072,334,9,0,0,1084,199,228,168,1740,36.42,295.36,731.02,33.9,Type_1,7,2,0
3271,335,10,201,38,4774,198,227,168,2791,83.46,405.24,196.74,44.28,Type_1,15,1,0
3012,324,13,210,22,324,188,226,178,324,51.34,339.45,1192.88,47.22,Type_1,10,2,0
3056,185,12,150,25,1935,222,248,157,108,52.53,155.22,375.99,32.68,Type_1,13,1,0
3057,192,15,108,4,2021,217,251,163,60,59.87,264.84,1145.7,61.81,Type_1,13,1,0
3339,337,16,454,12,5020,183,216,171,3061,44.51,312.82,394.89,18.03,Type_1,11,1,0
3095,315,5,30,4,1279,206,236,168,1521,40.26,293.27,813.38,10.56,Type_1,5,2,0
3190,313,16,67,7,4124,175,226,191,2162,32.63,271.41,168.73,13.44,Type_1,7,1,0
3106,358,5,67,4,1421,211,230,156,1339,71.27,303.99,452.22,61.99,Type_1,7,2,0
3117,293,7,67,4,1294,200,239,178,1398,86.32,306.33,547.17,12.33,Type_1,5,2,0
3061,313,10,60,18,162,192,232,180,474,56.53,236.35,580.32,34.75,Type_1,10,2,0
3110,339,6,30,1,1400,207,232,163,1328,34.29,222.24,367.38,59.71,Type_1,7,2,0
3113,343,6,42,2,1421,208,231,161,1300,82.33,378.85,560.92,15.11,Type_1,7,2,0
3119,338,5,30,0,1421,209,233,162,1265,69.89,202.75,1052.81,34.86,Type_1,7,2,0
3041,301,1,120,8,190,215,238,161,573,31.11,197.55,820.64,54.35,Type_1,10,2,0
3089,338,4,379,46,485,210,233,162,726,56.27,173.1,1040.73,43.99,Type_1,7,2,0
3091,338,5,437,48,541,209,233,162,765,31.3,423.59,1126.69,52.42,Type_1,10,2,0
3256,279,25,361,80,4179,146,234,224,2289,60.06,253.25,865.01,5.86,Type_1,11,1,0
3188,291,15,255,28,3964,176,236,200,2103,47.24,239.68,1061.78,46.39,Type_1,7,1,0
3130,337,8,433,-55,1129,203,229,165,1019,86.7,369.68,814.02,58.47,Type_1,7,2,0
3283,289,17,534,115,4230,171,236,204,2394,48.33,230.61,641.16,12.35,Type_1,11,1,0
3244,339,18,150,49,1666,178,211,170,2819,76.96,198.75,116.7,39.65,Type_1,1,0,0
3259,353,17,234,72,1550,189,208,156,2704,57.32,225.44,952.07,19.12,Type_1,1,0,0
3116,350,11,210,31,516,201,222,160,864,71.88,214.42,324.91,52.94,Type_1,10,2,0
3130,318,6,67,3,3300,205,235,169,1530,53.28,369.5,818.61,60.81,Type_1,8,1,0
3129,8,7,270,44,624,212,227,152,969,31.44,430.39,778.29,40.11,Type_1,10,2,0
3167,342,10,190,-18,1359,198,224,165,812,48.78,399.48,630.62,29.23,Type_1,5,2,0
3135,346,8,402,-42,900,205,228,161,984,57.03,383.76,211.08,64.81,Type_1,7,2,0
3147,354,9,270,-30,830,206,225,158,1041,55.61,415.37,1008.38,30.53,Type_1,10,2,0
3165,333,8,324,-20,1140,201,229,168,767,78.54,272.49,1078.74,22.47,Type_1,5,2,0
3189,277,6,0,0,1155,205,241,175,1092,76.84,256.09,1086.58,14.14,Type_1,5,2,0
3236,317,22,391,109,3546,157,214,195,1853,72.94,312.93,1055.88,7.24,Type_1,13,1,0
3164,343,9,170,-13,1022,202,227,163,853,72.85,410.87,250.26,27.05,Type_1,10,2,0
3183,343,8,331,-2,1189,204,228,163,680,87.97,255.94,353.01,37.09,Type_1,5,2,0
2978,325,10,297,13,134,196,230,173,837,76.98,315.97,815.01,27.05,Type_1,8,1,0
2905,304,22,339,134,426,154,223,207,1181,74.78,249.6,486.91,47.2,Type_1,12,1,0
2901,306,24,339,141,424,149,219,207,1168,68.27,340.32,134.15,57.09,Type_1,12,1,0
3325,155,13,342,60,1600,235,241,135,2965,30.56,181.1,721.91,18.03,Type_1,1,0,0
3141,300,8,306,-5,540,199,237,178,1371,85.97,445.77,1183.62,23.07,Type_1,7,2,0
3216,72,9,120,12,947,231,223,125,1053,50.71,364.3,269.16,22.05,Type_1,15,2,0
2960,344,12,573,188,661,195,220,164,1387,46.17,261.46,926.98,22.46,Type_1,15,1,0
2945,355,16,446,-80,573,191,209,154,1073,41.84,318.71,572.09,26.77,Type_1,13,1,0
3043,135,4,175,17,745,226,238,146,962,64.53,151.82,631.04,39.16,Type_1,15,1,0
3267,162,10,313,38,1358,231,243,143,2835,85.52,363.8,421.79,17.01,Type_1,10,0,0
3202,234,22,573,-30,3438,178,253,207,1936,38.81,209.16,195.25,41.82,Type_1,12,1,0
3042,233,7,134,16,750,208,247,176,990,42.87,181.98,358.91,52.4,Type_1,14,1,0
3288,168,16,180,30,1610,231,245,140,2826,68.04,218.95,373.56,15.59,Type_1,10,0,0
3291,273,14,811,176,3768,182,243,200,2215,89.16,440.52,655.63,6.9,Type_1,13,1,0
2988,8,19,816,216,865,194,198,137,1329,55.28,328.48,1115.9,16.65,Type_1,5,1,0
2991,6,23,782,114,799,185,188,134,1271,53.95,185.72,99.89,27.26,Type_1,5,1,0
2922,49,17,450,104,680,225,202,105,902,45.17,336.84,590.3,7.99,Type_1,12,1,0
3232,265,8,90,4,642,200,244,182,1236,60.84,358.08,731.82,33.37,Type_1,6,2,0
3114,66,6,511,59,437,227,227,135,1230,70.55,447.8,337.35,8.53,Type_1,15,1,0
2819,319,25,120,48,600,148,208,196,1033,63.59,156.85,160.92,33.66,Type_1,7,1,0
3310,39,12,361,45,1084,220,213,126,603,77.38,314.97,1143.67,45.1,Type_1,15,2,0
2933,68,10,30,-3,840,231,220,121,1343,36.79,317.06,795.33,58.27,Type_1,0,1,0
3009,101,6,67,1,644,230,232,135,1485,71.81,396.17,685.87,52.98,Type_1,7,1,0
2985,128,11,42,8,1050,238,233,125,1302,65.76,367.49,967.43,61.14,Type_1,15,1,0
3178,145,6,0,0,1020,228,239,144,2542,57.62,411.36,224.45,39.26,Type_1,7,0,0
3029,98,28,400,-25,721,252,190,47,1155,68.18,185.82,436.33,54.07,Type_1,12,1,0
2931,308,28,285,162,726,131,209,212,1209,75.08,198.31,954.45,11.9,Type_1,12,1,0
3164,117,4,0,0,872,227,236,143,2536,70.71,309.92,96.06,37.89,Type_1,7,0,0
3152,30,13,30,1,685,216,212,130,2584,41.9,441.27,921.48,34.23,Type_1,7,0,0
3206,315,7,180,28,499,201,234,172,962,59.64,257.17,989.54,55.83,Type_1,10,2,0
3292,285,29,999,194,3695,129,225,230,2356,58.54,161.46,785.84,30.58,Type_1,23,1,0
3223,38,13,60,11,1266,219,210,123,2460,76.27,204.35,564.23,36.03,Type_1,7,0,0
3165,18,10,30,1,832,212,219,143,2512,69.68,423.74,1166.41,62.3,Type_1,7,0,0
3164,1,10,30,2,805,206,221,153,2519,54.56,166.87,1068.12,62.64,Type_1,7,0,0
3179,22,15,60,8,899,209,206,130,2466,83.4,350.26,1042.0,33.28,Type_1,7,0,0
2901,61,9,30,-2,2349,227,222,128,1693,44.7,442.44,1079.86,9.03,Type_1,12,1,0
3062,324,6,531,142,3131,205,233,168,1981,73.78,331.93,192.14,16.76,Type_1,7,1,0
3301,107,18,127,25,865,248,216,89,713,72.61,415.73,828.03,12.83,Type_1,15,2,0
3082,275,11,592,166,3258,189,243,193,2097,36.92,266.46,1081.3,52.92,Type_1,13,1,0
2889,327,34,170,85,870,118,179,188,1253,52.06,227.81,125.17,30.24,Type_1,12,1,0
3143,1,24,787,-11,1207,178,187,141,1698,65.47,262.84,603.63,9.92,Type_1,5,1,0
3067,312,17,658,301,983,171,225,193,1451,81.78,416.21,157.17,48.42,Type_1,13,1,0
3316,109,24,150,36,858,253,205,65,674,58.88,187.64,872.98,32.21,Type_1,15,2,0
3192,327,24,497,75,485,155,206,187,1839,78.36,300.72,901.25,42.63,Type_1,5,1,0
2784,24,30,162,53,939,189,162,93,1012,71.58,250.42,936.13,56.68,Type_1,12,1,0
2751,0,10,30,8,1385,206,222,154,1026,30.3,397.95,743.96,64.56,Type_1,12,1,0
3205,337,10,430,88,495,199,227,167,1832,65.95,164.53,281.96,53.04,Type_1,5,1,0
3267,76,10,285,55,1254,232,222,121,2251,35.34,248.25,955.94,35.49,Type_1,7,0,0
3208,25,13,531,75,1237,213,210,132,1745,63.29,435.55,1153.55,32.56,Type_1,5,1,0
2962,47,10,402,-8,778,224,217,127,1733,55.37,177.71,911.62,24.95,Type_1,15,1,0
2868,45,12,60,17,390,223,214,124,1856,63.95,168.23,183.3,10.59,Type_1,5,1,0
2964,54,22,192,56,2419,227,189,85,1899,86.17,439.83,867.05,15.16,Type_1,12,1,0
3143,300,13,721,222,3274,183,234,191,2340,33.29,300.82,1151.92,35.9,Type_1,13,1,0
2871,308,26,150,50,1036,138,212,209,1362,73.02,421.47,342.99,32.26,Type_1,12,1,0
3286,341,12,30,6,674,194,222,166,859,73.13,170.15,905.67,52.48,Type_1,15,2,0
3147,147,11,684,-18,750,235,239,134,1598,73.78,166.23,1169.27,39.71,Type_1,10,2,0
3105,339,18,350,88,778,180,212,170,1690,38.93,347.31,1155.64,44.95,Type_1,10,1,0
3042,1,10,268,126,2922,206,221,153,2188,31.83,233.92,776.07,52.2,Type_1,12,1,0
3117,326,11,402,94,832,194,228,174,1697,86.31,317.12,446.2,31.67,Type_1,10,1,0
3066,28,10,0,0,1354,216,218,137,1714,37.35,214.4,1062.03,38.46,Type_1,0,1,0
3034,27,11,234,7,1237,215,217,137,1727,42.72,285.26,528.34,47.1,Type_1,15,1,0
2887,57,15,30,8,503,229,207,108,1926,31.77,358.01,432.18,28.34,Type_1,5,1,0
3161,38,16,618,-4,780,218,204,117,1650,46.67,437.92,580.92,10.14,Type_1,10,2,0
3156,316,13,579,-9,690,185,228,183,1706,82.19,331.64,1104.32,39.94,Type_1,10,2,0
2906,288,27,42,23,514,136,226,225,1874,35.51,196.83,1198.61,20.74,Type_1,5,1,0
3056,62,30,384,148,2396,229,165,47,2041,83.61,341.21,154.05,14.63,Type_1,12,1,0
3054,65,4,60,0,914,223,231,143,1664,43.65,291.59,197.1,9.41,Type_1,10,1,0
3132,329,11,900,363,1273,194,227,172,1208,30.19,233.32,627.62,58.58,Type_1,13,1,0
3063,65,30,408,155,2413,232,166,44,2071,36.52,175.92,1033.89,56.62,Type_1,12,1,0
3156,40,17,350,53,1188,219,200,111,1245,33.23,278.86,741.7,10.42,Type_1,10,1,0
3084,306,19,488,271,1200,165,226,200,1172,30.73,372.51,108.4,18.24,Type_1,12,1,0
2945,63,17,309,0,765,233,204,98,1999,69.68,230.81,543.73,59.79,Type_1,5,1,0
2857,9,19,190,31,2182,195,200,138,1621,60.69,406.75,307.22,38.8,Type_1,12,1,0
3255,258,6,638,71,693,207,243,175,900,56.41,304.81,989.12,62.71,Type_1,7,2,0
2979,89,18,67,14,1082,244,207,85,1651,45.08,210.81,935.83,29.79,Type_1,12,1,0
3204,292,14,752,1,1463,179,236,197,1291,39.97,392.45,1195.44,12.95,Type_1,12,1,0
2943,290,7,180,66,600,200,239,178,1846,50.97,260.69,956.84,57.07,Type_1,15,1,0
3166,23,15,420,0,437,210,206,129,1974,70.01,255.45,591.42,9.11,Type_1,12,2,0
3192,4,10,659,181,872,207,221,151,1989,64.24,442.86,674.64,20.22,Type_1,15,1,0
3226,337,19,153,27,272,175,210,172,1369,63.0,376.38,744.13,16.02,Type_1,7,2,0
3262,328,24,484,64,1128,154,204,185,1588,59.51,319.02,670.42,35.9,Type_1,12,2,0
3052,19,31,366,134,2415,181,159,99,2173,63.93,376.73,169.28,52.75,Type_1,12,1,0
2942,72,25,60,25,2605,239,182,59,2250,72.93,407.93,255.77,55.94,Type_1,12,1,0
2966,290,34,306,140,1299,108,213,234,1181,87.42,256.69,1154.56,20.35,Type_1,12,1,0
3171,69,19,201,16,1505,237,199,87,1663,33.63,212.46,354.33,10.04,Type_1,13,1,0
3216,7,20,426,50,779,192,197,138,1839,68.06,406.63,783.53,41.84,Type_1,12,2,0
3040,115,24,268,121,2445,253,208,68,2259,51.23,199.86,180.15,7.83,Type_1,12,1,0
2996,89,25,180,82,2490,248,191,56,2278,66.2,420.26,914.72,40.66,Type_1,12,1,0
3225,24,11,150,8,1556,214,215,136,967,49.49,173.75,602.22,9.63,Type_1,9,1,0
2840,277,4,0,0,1390,209,240,169,1379,47.6,324.74,242.75,48.26,Type_1,7,1,0
3162,41,15,124,7,1561,221,205,116,1674,32.01,424.64,808.67,54.69,Type_1,13,1,0
3189,30,13,446,39,1321,216,211,129,1304,58.27,254.1,93.74,16.91,Type_1,9,1,0
3190,346,32,582,94,1154,143,172,157,1584,79.12,338.26,1156.22,33.46,Type_1,5,1,0
3161,23,14,228,55,912,212,210,133,2069,37.48,165.81,1195.7,17.96,Type_1,10,1,0
3245,309,16,150,57,150,173,227,194,1557,86.8,242.08,1101.32,16.13,Type_1,7,2,0
3245,33,12,335,46,430,218,214,131,1298,53.85,301.19,1114.57,57.97,Type_1,7,2,0
3098,37,22,467,174,2294,214,187,99,2290,43.03,263.11,1038.5,11.95,Type_1,12,1,0
3204,76,6,384,5,153,228,229,136,2089,31.93,426.26,454.25,18.31,Type_1,1,2,0
2862,320,17,85,21,1498,174,221,186,1273,68.63,272.77,804.98,30.35,Type_1,7,1,0
3136,267,20,255,42,190,166,244,215,2399,83.16,293.73,773.32,21.39,Type_1,10,2,0
3141,27,27,573,223,2200,197,170,96,2343,85.67,318.27,381.38,24.66,Type_1,12,1,0
3059,48,17,201,16,1050,224,200,104,2202,44.41,435.38,845.32,45.75,Type_1,9,1,0
3181,253,22,297,78,277,164,248,218,2307,45.61,413.25,715.26,22.27,Type_1,6,2,0
3225,358,14,875,22,1632,198,214,153,953,30.49,407.96,400.91,24.1,Type_1,13,1,0
3207,42,7,150,4,1723,221,225,139,1465,74.16,151.0,690.84,34.32,Type_1,13,1,0
3137,353,22,319,50,1606,176,195,153,2041,39.13,206.98,227.11,52.5,Type_1,5,1,0
2972,21,16,60,9,940,208,205,130,2291,69.23,196.11,422.45,48.29,Type_1,5,1,0
3233,290,13,350,49,234,182,238,195,1900,82.67,403.21,191.49,18.38,Type_1,7,2,0
3230,149,21,216,64,782,242,233,109,2064,83.71,434.66,845.46,62.01,Type_1,14,2,0
3013,90,29,240,87,2297,249,180,39,2477,69.55,311.56,842.72,35.77,Type_1,12,1,0
3021,339,38,391,178,1574,114,158,166,984,63.76,428.53,1091.52,13.48,Type_1,12,1,0
3033,69,26,30,13,1047,237,180,58,2340,35.98,350.23,130.99,37.77,Type_1,5,1,0
2932,3,17,175,45,2318,195,205,145,2028,63.49,184.26,125.94,33.36,Type_1,12,1,0
3204,341,14,228,40,1892,191,219,167,2212,75.85,365.69,719.85,54.21,Type_1,15,1,0
3244,2,6,630,41,1800,212,229,154,1019,75.43,436.99,742.56,50.39,Type_1,13,1,0
3234,51,6,360,31,1855,223,227,139,1218,89.11,157.58,1139.64,8.01,Type_1,13,1,0
3221,57,7,180,18,1820,225,226,136,1365,78.59,249.81,938.23,15.59,Type_1,13,1,0
2993,36,19,85,3,1006,215,195,108,2355,57.61,228.03,576.48,7.29,Type_1,5,1,0
3358,141,23,418,-4,497,246,227,96,792,54.59,271.72,809.2,25.33,Type_1,15,2,0
3036,31,18,0,0,1087,213,198,116,2407,58.63,414.77,188.4,19.66,Type_1,5,1,0
3186,166,23,124,20,787,232,241,127,2172,45.49,403.09,333.12,63.99,Type_1,14,2,0
3207,271,13,212,43,1834,186,244,197,2268,32.26,289.59,843.66,41.28,Type_1,12,1,0
3186,357,20,417,26,1421,185,201,150,2284,69.23,307.83,1089.95,36.44,Type_1,5,1,0
2952,34,20,162,37,2372,213,193,109,1906,75.13,368.06,660.22,34.48,Type_1,12,1,0
2943,1,16,85,15,2345,196,209,149,1827,60.21,257.02,1143.18,64.79,Type_1,12,1,0
2943,355,14,30,5,2329,196,214,155,1775,83.64,321.4,1177.0,7.94,Type_1,12,1,0
3225,270,7,457,69,360,202,243,180,1917,86.18,422.96,824.31,31.59,Type_1,7,2,0
3278,356,13,960,75,1783,199,217,155,752,33.41,392.02,1070.99,31.1,Type_1,5,1,0
3189,280,17,120,28,607,171,240,208,2413,69.35,323.85,1167.33,48.98,Type_1,7,2,0
3284,351,11,960,81,1812,199,221,159,726,66.74,153.31,1011.9,7.67,Type_1,5,1,0
3262,12,12,630,59,1911,207,215,143,934,72.97,292.67,989.42,28.24,Type_1,13,1,0
3222,1,24,212,35,1926,177,186,140,1682,55.0,250.82,1124.35,29.72,Type_1,9,1,0
3101,342,8,30,4,309,205,229,163,2100,75.44,352.46,518.54,56.29,Type_1,10,2,0
2794,60,10,30,11,1940,228,218,122,1855,80.82,340.0,965.88,36.77,Type_1,7,1,0
3087,324,7,192,5,216,203,233,169,1917,79.67,171.71,594.07,47.49,Type_1,7,2,0
3318,317,25,743,119,799,147,209,198,994,52.97,182.29,641.19,43.79,Type_1,10,2,0
2978,52,25,120,51,2216,224,178,74,2714,65.35,344.11,573.26,23.22,Type_1,12,1,0
3244,351,17,90,4,1980,188,209,158,1549,67.05,433.66,560.7,58.44,Type_1,5,1,0
3222,8,19,457,26,1591,195,199,137,2176,88.88,242.25,1119.38,8.55,Type_1,9,1,0
3230,164,20,361,69,552,234,242,129,2636,45.67,293.28,1195.2,43.35,Type_1,15,2,0
3102,13,22,67,25,1254,194,191,127,2574,40.3,300.22,624.37,11.67,Type_1,5,1,0
3046,295,10,309,-7,2234,192,237,185,832,35.65,189.77,1081.7,57.93,Type_1,10,1,0
3221,72,13,655,14,1825,235,214,109,2631,31.23,362.08,419.28,14.06,Type_1,15,1,0
3288,7,14,573,85,2045,201,211,145,907,73.11,273.13,1168.67,42.86,Type_1,13,1,0
3272,343,24,124,8,2042,163,195,165,1584,34.38,178.53,1158.77,28.93,Type_1,9,1,0
3040,13,17,268,80,2435,201,203,136,1298,79.27,222.71,934.03,7.87,Type_1,5,1,0
3306,329,13,716,122,743,187,223,175,1092,59.58,263.03,668.36,22.48,Type_1,7,2,0
3217,58,13,664,10,1784,229,212,114,2698,70.91,218.27,93.89,43.58,Type_1,15,1,0
3065,55,20,721,5,1371,228,193,90,2079,67.44,247.08,384.98,37.07,Type_1,12,1,0
3144,6,18,30,6,1423,195,201,140,2638,37.15,351.87,252.13,38.35,Type_1,5,1,0
3048,325,17,182,-6,2534,177,220,182,1355,68.95,390.8,889.56,52.47,Type_1,12,1,0
3134,337,14,268,30,417,189,221,170,1867,64.03,164.81,559.17,8.82,Type_1,10,2,0
3311,270,1,808,127,828,216,238,160,1034,63.21,329.55,482.22,26.43,Type_1,7,2,0
3336,0,22,402,133,2206,182,193,144,1036,53.86,324.01,1064.75,49.76,Type_1,9,1,0
3104,295,16,488,-34,2081,172,234,201,612,76.79,159.95,1043.49,29.47,Type_1,10,1,0
3380,314,17,997,188,1045,171,224,192,769,77.04,320.22,649.66,8.8,Type_1,7,2,0
3078,25,16,134,32,1366,210,204,126,2586,53.48,336.94,406.71,54.1,Type_1,12,1,0
2851,323,14,120,26,2466,183,224,181,2242,83.32,243.26,253.34,23.28,Type_1,5,1,0
2912,295,15,30,9,2789,176,235,198,2118,44.41,282.26,186.05,27.9,Type_1,10,1,0
3116,291,16,513,-22,2069,174,236,202,577,46.81,258.0,358.28,31.42,Type_1,10,1,0
3180,289,17,85,21,731,171,236,204,2114,33.19,344.5,907.58,25.76,Type_1,7,2,0
3016,38,22,900,256,1610,215,187,98,2106,43.91,372.09,823.68,23.04,Type_1,12,1,0
3186,298,20,67,27,759,159,228,207,2110,80.03,302.63,781.27,32.26,Type_1,7,2,0
3244,54,20,162,38,730,227,192,89,1991,63.21,315.77,1074.8,51.58,Type_1,7,2,0
3079,344,14,240,-8,2335,190,217,165,624,55.11,360.02,945.0,33.17,Type_1,10,1,0
3163,208,11,201,27,607,212,250,172,2523,33.89,227.23,957.21,42.8,Type_1,7,2,0
3218,34,14,30,4,1705,217,210,125,2409,73.66,349.31,624.71,44.37,Type_1,10,1,0
3238,37,21,242,82,1575,214,188,100,2663,70.76,318.33,946.47,29.35,Type_1,12,1,0
3178,316,17,636,39,1998,173,223,190,430,53.27,419.92,876.97,13.31,Type_1,12,1,0
3392,27,24,285,111,2385,201,179,104,1154,38.17,367.29,835.81,47.35,Type_1,6,1,0
3112,329,13,90,24,1530,189,225,175,2391,48.07,190.81,769.16,62.8,Type_1,5,1,0
3263,308,11,492,81,642,190,233,184,218,43.61,322.91,538.53,46.62,Type_1,5,2,0
3211,101,7,0,0,1273,233,230,130,2701,85.76,205.84,928.2,29.72,Type_1,15,1,0
3284,336,23,180,80,1728,161,201,175,2612,40.03,174.19,169.81,63.89,Type_1,12,1,0
3121,320,11,268,40,201,192,230,177,1276,67.76,276.95,570.34,24.81,Type_1,10,2,0
3145,328,13,108,6,2506,187,224,176,499,49.87,373.82,1096.88,48.26,Type_1,12,1,0
3169,330,17,247,30,2380,177,216,178,382,37.12,216.9,221.3,25.06,Type_1,12,1,0
3145,315,3,162,13,300,210,236,164,2791,84.38,295.92,850.35,63.78,Type_1,10,2,0
3139,344,14,42,5,2681,192,218,164,598,62.51,332.19,515.97,50.33,Type_1,10,1,0
3239,359,19,570,100,2170,188,201,148,190,35.47,430.54,351.21,59.2,Type_1,12,1,0
3359,68,10,706,214,1583,231,220,121,1448,70.74,276.68,910.96,35.05,Type_1,13,2,0
3400,160,8,792,235,1443,228,242,146,1130,87.9,264.03,598.32,52.81,Type_1,13,2,0
3055,61,23,510,30,2177,232,186,75,1924,45.62,401.5,998.95,61.78,Type_1,12,1,0
2835,41,10,0,0,2569,221,219,132,2148,31.11,227.84,1106.08,47.79,Type_1,0,1,0
3297,261,24,134,50,1112,155,244,223,1549,62.74,236.78,892.09,58.56,Type_1,10,2,0
3256,309,14,395,64,564,182,230,188,240,77.42,213.81,724.9,12.57,Type_1,12,2,0
3226,8,15,510,39,1954,201,208,143,1879,45.71,241.58,1061.18,13.69,Type_1,12,1,0
3162,53,20,514,137,2072,226,194,93,1861,60.76,353.68,1076.32,10.25,Type_1,12,1,0
2921,49,21,240,107,2436,223,190,91,2017,49.84,416.82,1123.38,12.35,Type_1,12,1,0
3290,65,26,382,99,984,234,177,58,1761,81.63,352.37,989.89,64.75,Type_1,11,2,0
2990,270,19,234,55,3276,166,243,214,1830,49.96,316.32,1116.55,24.04,Type_1,5,1,0
3176,345,14,192,25,2829,191,217,164,630,79.88,248.34,655.17,14.56,Type_1,10,1,0
3147,85,20,553,211,1360,244,202,79,2438,49.09,390.76,1158.16,57.12,Type_1,12,1,0
3385,160,7,937,204,1224,228,242,147,752,88.02,370.47,975.34,52.1,Type_1,13,2,0
3063,70,23,360,38,2322,238,189,70,1783,77.24,238.57,536.25,60.52,Type_1,12,1,0
3201,43,17,443,91,3088,221,200,108,902,89.05,343.42,862.61,18.16,Type_1,5,1,0
3221,296,11,564,126,3206,188,237,188,1024,45.17,386.85,1075.13,20.48,Type_1,15,1,0
3322,145,26,534,157,1697,245,225,91,1328,32.43,274.34,234.06,44.14,Type_1,12,2,0
3230,149,23,365,85,1230,243,231,104,1819,54.17,327.15,147.02,14.84,Type_1,12,2,0
3190,120,9,313,56,1020,236,232,127,2024,86.11,166.7,734.45,32.89,Type_1,12,2,0
3161,68,13,240,27,780,233,214,111,2259,30.71,445.73,1140.58,43.8,Type_1,7,2,0
3106,258,22,450,80,3314,162,246,219,1475,82.4,358.29,926.41,63.04,Type_1,14,1,0
3061,253,16,335,53,3365,183,249,203,1597,70.89,159.31,1140.74,45.62,Type_1,14,1,0
3231,301,27,466,137,408,134,216,217,1008,70.81,409.4,563.56,56.36,Type_1,10,2,0
